Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
superword,org.apdplat.superword.tools,TextAnalyzer,seg,Complex Conditional,The conditional expression word.length() < 6 || (Character.isUpperCase(word.charAt(word.length() - 1)) && Character.isUpperCase(word.charAt(0))) || PATTERN.matcher(word).find() || StringUtils.isAllUpperCase(word) is complex.,104
superword,org.apdplat.superword.tools,TextAnalyzer,seg,Complex Method,Cyclomatic complexity of the method is 11,104
superword,org.apdplat.superword.tools,TextAnalyzer,seg,Long Statement,The length of the statement "if (word.length() < 6 || (Character.isUpperCase(word.charAt(word.length() - 1)) && Character.isUpperCase(word.charAt(0))) || PATTERN.matcher(word).find() || StringUtils.isAllUpperCase(word)) {" is 192.,104
superword,org.apdplat.superword.tools,TextAnalyzer,seg,Magic Number,The method contains a magic number: 2,104
superword,org.apdplat.superword.tools,TextAnalyzer,seg,Magic Number,The method contains a magic number: 6,104
superword,org.apdplat.superword.tools,TextAnalyzer,seg,Magic Number,The method contains a magic number: 2,104
superword,org.apdplat.superword.tools,TextAnalyzer,irregularity,Complex Method,Cyclomatic complexity of the method is 12,163
superword,org.apdplat.superword.tools,TextAnalyzer,sentence,Complex Method,Cyclomatic complexity of the method is 10,277
superword,org.apdplat.superword.tools,TextAnalyzer,sentence,Long Statement,The length of the statement "try (BufferedReader reader=new BufferedReader(new InputStreamReader(new BufferedInputStream(new FileInputStream(fileName))))){" is 126.,277
superword,org.apdplat.superword.tools,TextAnalyzer,toDic,Long Statement,The length of the statement "List<String> words=data.entrySet().stream().filter(w -> StringUtils.isAlpha(w.getKey()) && w.getKey().length() < 12).sorted((a`b) -> b.getValue().get() - a.getValue().get()).map(e -> e.getValue() + "\t" + e.getKey()).collect(Collectors.toList());" is 246.,340
superword,org.apdplat.superword.tools,TextAnalyzer,toDic,Magic Number,The method contains a magic number: 12,340
superword,org.apdplat.superword.tools,TextAnalyzer,importantWords,Long Statement,The length of the statement "Set<Word> wordSet=WordSources.get("/word_CET4.txt"`"/word_CET6.txt"`"/word_GRE.txt"`"/word_IELTS.txt"`"/word_TOEFL.txt"`"/word_KY.txt");" is 136.,362
superword,org.apdplat.superword.tools,TextAnalyzer,importantWords,Long Statement,The length of the statement "Set<Map.Entry<Word`AtomicInteger>> entries=data.entrySet().stream().filter(entry -> wordSet.contains(entry.getKey())).collect(Collectors.toSet());" is 146.,362
superword,org.apdplat.superword.tools,TextAnalyzer,importantWords,Magic Number,The method contains a magic number: 5,362
superword,org.apdplat.superword.tools,WordClassifierForYouDao,classify,Magic Number,The method contains a magic number: 1000,66
superword,org.apdplat.superword.tools,WordClassifierForYouDao,classify,Magic Number,The method contains a magic number: 999,66
superword,org.apdplat.superword.tools,WordClassifierForYouDao,classify,Magic Number,The method contains a magic number: 2,66
superword,org.apdplat.superword.tools,WordClassifierForYouDao,parseFile,Long Statement,The length of the statement "try (BufferedReader reader=new BufferedReader(new InputStreamReader(new BufferedInputStream(new FileInputStream(file))))){" is 122.,153
superword,org.apdplat.superword.tools,WordClassifierForYouDao,parse,Magic Number,The method contains a magic number: 2,169
superword,org.apdplat.superword.tools,WordClassifierForYouDao,showStatus,Magic Number,The method contains a magic number: 100,182
superword,org.apdplat.superword.tools,WordClassifierForYouDao,save,Complex Method,Cyclomatic complexity of the method is 8,189
